addressLocality,latitude,longitude,price,property-beds,property-baths,property-sqft,Basement,Bath,Exterior,Exterior Features,Features,Fireplace,Heating,Partial Bathroom,Property Tax,Property Type,Roof,Sewer,Square Footage,Type,Parking,Flooring,Parking Features,Fireplace Features
St. John's,47.59731,-52.731525,399900.0,3.0,3.0,2950.0,,1.0,"Cedar shingles, Wood shingles, Other","Cedar shingles, Wood shingles, Other",Parking Space(s),Yes,"Hot water radiator heat, Baseboard heaters, Radiant heat, Oil, Electric",1.0,,Single Family,,Municipal sewage system,,Single Family,Parking Space(s),"Hardwood, Laminate, Carpeted, Other",Parking Space(s),
Mount Pearl,47.516199,-52.801631,369900.0,5.0,2.0,2704.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],Yes,"[""Baseboard heaters"", ""Radiant heat"", ""Oil""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Laminate"", ""Other""]",[],"[""Insert"", ""Propane""]"
St. John's,47.5640789,-52.719868,350000.0,3.0,2.0,1778.0,,0.0,"[""Other""]","[""Other""]",[],[],"[""Baseboard heaters"", ""Electric""]",0.0,,Condo/Townhome,,"[""Municipal sewage system""]",,Condo/Townhome,[],"[""Hardwood"", ""Ceramic Tile""]",[],[]
St. John's,47.53769,-52.747855,317900.0,3.0,2.0,1650.0,[],0.0,"[""Wood shingles"", ""Vinyl siding""]","[""Wood shingles"", ""Vinyl siding""]",[],[],"[""Forced air"", ""Oil"", ""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Hardwood"", ""Laminate"", ""Mixed Flooring""]",[],[]
Mount Pearl,47.5310407,-52.8078166,354900.0,3.0,3.0,1670.0,[],1.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Garage""]",[],"[""Baseboard heaters""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Garage""]","[""Laminate"", ""Ceramic Tile""]","[""Garage""]",[]
St. John's,47.593246,-52.729859,60000.0,3.0,1.0,1575.0,[],0.0,"[""Wood shingles"", ""Vinyl siding""]","[""Wood shingles"", ""Vinyl siding""]",[],[],"[""Baseboard heaters"", ""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Laminate"", ""Other"", ""Mixed Flooring""]",[],[]
St. John's,47.535984,-52.755334,199999.0,4.0,1.0,1440.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Baseboard heaters"", ""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Carpeted"", ""Other""]",[],[]
St. John's,47.593261,-52.729929,100000.0,3.0,1.0,1575.0,[],0.0,"[""Wood shingles"", ""Vinyl siding""]","[""Wood shingles"", ""Vinyl siding""]",[],[],"[""Baseboard heaters"", ""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Laminate"", ""Other"", ""Mixed Flooring""]",[],[]
St. John's,47.592937,-52.729181,100000.0,3.0,1.0,1575.0,[],0.0,"[""Wood shingles"", ""Vinyl siding""]","[""Wood shingles"", ""Vinyl siding""]",[],[],"[""Baseboard heaters"", ""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Laminate"", ""Other"", ""Mixed Flooring""]",[],[]
Paradise,47.5481868,-52.8938769,79900.0,,0.0,,,,[],[],[],[],,,,Vacant Land,[],[],,Vacant Land,[],[],[],[]
Paradise,47.5325873,-52.903791,459900.0,3.0,4.0,2316.0,[],2.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Attached Garage"", ""Garage""]",[],"[""Baseboard heaters"", ""Electric""]",2.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Attached Garage"", ""Garage""]","[""Hardwood"", ""Other"", ""Ceramic Tile""]","[""Attached Garage"", ""Garage""]",[]
ST. JOHN'S,47.565541,-52.76957,314900.0,3.0,2.0,1560.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Laminate"", ""Carpeted"", ""Other""]",[],[]
St. John's,47.592177,-52.718444,369900.0,5.0,2.0,1860.0,[],0.0,"[""Other""]","[""Other""]",[],[],"[""Baseboard heaters"", ""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Hardwood"", ""Ceramic Tile""]",[],[]
St. John's,47.592362,-52.705765,399900.0,3.0,2.0,2050.0,[],1.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Attached Garage""]",[],"[""Hot water radiator heat"", ""Radiant heat"", ""Oil""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Attached Garage""]","[""Hardwood"", ""Carpeted"", ""Other""]","[""Attached Garage""]",[]
St. John's,47.495299,-52.797258,639900.0,3.0,3.0,2771.0,[],1.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Attached Garage""]",[],"[""Baseboard heaters"", ""Electric""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Attached Garage""]","[""Carpeted"", ""Other"", ""Ceramic Tile""]","[""Attached Garage""]",[]
Paradise,47.5293804,-52.8793689,290000.0,2.0,2.0,852.0,,0.0,Vinyl siding,Vinyl siding,Other,,Electric,0.0,,Condo,,Municipal sewage system,,Condo,Other,"Laminate, Other",Other,
St. John's,47.540029,-52.7697,380000.0,4.0,3.0,2400.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Attached Garage""]",Yes,"[""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Attached Garage""]","[""Laminate"", ""Mixed Flooring""]","[""Attached Garage""]","[""Insert"", ""Propane""]"
Paradise,47.533771,-52.864566,299900.0,5.0,3.0,1840.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Baseboard heaters"", ""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Laminate"", ""Mixed Flooring""]",[],[]
St. John's,47.587707,-52.704425,299900.0,3.0,1.0,2434.0,[],0.0,"[""Wood""]","[""Wood""]",[],Yes,"[""Hot water radiator heat"", ""Oil""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Hardwood"", ""Other""]",[],[]
Paradise,47.5202782,-52.9113619,679000.0,3.0,3.0,3810.0,[],1.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Detached Garage""]",Yes,"[""Hot water radiator heat"", ""Baseboard heaters"", ""Electric""]",1.0,,Single Family,[],"[""Septic tank""]",,Single Family,"[""Detached Garage""]","[""Mixed Flooring""]","[""Detached Garage""]","[""Insert"", ""Propane""]"
St. John's,47.562084,-52.713457,60000.0,,0.0,,,,[],[],[],[],,,,Vacant Land,[],"[""Municipal sewage system""]",,Vacant Land,[],[],[],[]
St. John's,47.566749,-52.743568,399900.0,4.0,2.0,2000.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Hardwood"", ""Laminate"", ""Ceramic Tile""]",[],[]
St. John's,47.555263,-52.751048,369900.0,3.0,2.0,1404.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Laminate"", ""Carpeted"", ""Other"", ""Mixed Flooring""]",[],[]
St. John's,47.508035,-52.753458,309900.0,4.0,3.0,2274.0,[],1.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],Yes,"[""Baseboard heaters"", ""Electric""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Laminate"", ""Mixed Flooring""]",[],[]
St. John's,47.591363,-52.728044,425000.0,5.0,2.0,2560.0,[],0.0,"[""Brick"", ""Vinyl siding""]","[""Brick"", ""Vinyl siding""]",[],[],"[""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Carpeted"", ""Ceramic Tile"", ""Mixed Flooring""]",[],[]
Paradise,47.550739,-52.892709,435500.0,3.0,4.0,1874.0,[],2.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Baseboard heaters"", ""Electric""]",2.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Mixed Flooring""]",[],[]
Paradise,47.550711,-52.892649,435500.0,3.0,4.0,1874.0,[],2.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Baseboard heaters"", ""Electric""]",2.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Mixed Flooring""]",[],[]
St. John's,47.502896,-52.836489,449900.0,3.0,3.0,2087.0,[],1.0,"[""Wood shingles"", ""Vinyl siding""]","[""Wood shingles"", ""Vinyl siding""]","[""Attached Garage""]",[],"[""Baseboard heaters"", ""Electric""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Attached Garage""]","[""Laminate""]","[""Attached Garage""]",[]
St. John's,47.502844,-52.836865,479900.0,3.0,3.0,2108.0,[],1.0,"[""Wood shingles"", ""Vinyl siding""]","[""Wood shingles"", ""Vinyl siding""]","[""Attached Garage""]",[],"[""Baseboard heaters"", ""Electric""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Attached Garage""]","[""Laminate""]","[""Attached Garage""]",[]
St. John's,47.564171,-52.709094,259000.0,2.0,1.0,1040.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Baseboard heaters"", ""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Laminate""]",[],[]
St. John's,47.564518,-52.71121,239000.0,2.0,1.0,1425.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Baseboard heaters"", ""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Hardwood"", ""Laminate""]",[],[]
St. John's,47.502973,-52.835942,459900.0,3.0,3.0,2121.0,[],1.0,"[""Wood shingles"", ""Vinyl siding""]","[""Wood shingles"", ""Vinyl siding""]","[""Attached Garage""]",[],"[""Baseboard heaters"", ""Electric""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Attached Garage""]","[""Laminate""]","[""Attached Garage""]",[]
St. John's,47.502799,-52.837058,479900.0,3.0,3.0,2124.0,[],1.0,"[""Wood shingles"", ""Vinyl siding""]","[""Wood shingles"", ""Vinyl siding""]","[""Attached Garage""]",[],"[""Baseboard heaters"", ""Electric""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Attached Garage""]","[""Laminate""]","[""Attached Garage""]",[]
St. John's,47.485296,-52.817572,489900.0,3.0,3.0,2730.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Attached Garage""]",[],"[""Heat Pump""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Attached Garage""]","[""Mixed Flooring""]","[""Attached Garage""]",[]
Mount Pearl,47.517408,-52.804976,289900.0,5.0,2.0,2000.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],Yes,"[""Oil"", ""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Mixed Flooring""]",[],[]
Mount Pearl,47.512186,-52.822478,349900.0,3.0,2.0,2088.0,[],1.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Electric""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Hardwood"", ""Carpeted"", ""Other"", ""Mixed Flooring""]",[],[]
St. John's,47.503034,-52.835599,449900.0,3.0,3.0,2087.0,[],1.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Attached Garage"", ""Garage""]",[],"[""Baseboard heaters"", ""Electric""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Attached Garage"", ""Garage""]","[""Laminate"", ""Ceramic Tile""]","[""Attached Garage"", ""Garage""]",[]
St. John's,47.503085,-52.835487,459900.0,3.0,3.0,2121.0,[],1.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Attached Garage"", ""Garage""]",[],"[""Baseboard heaters"", ""Electric""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Attached Garage"", ""Garage""]","[""Laminate"", ""Ceramic Tile""]","[""Attached Garage"", ""Garage""]",[]
St. John's,47.502831,-52.836576,479900.0,3.0,3.0,2124.0,[],1.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Attached Garage"", ""Garage""]",[],"[""Baseboard heaters"", ""Electric""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Attached Garage"", ""Garage""]","[""Laminate"", ""Ceramic Tile""]","[""Attached Garage"", ""Garage""]",[]
St. John's,47.50286,-52.836865,479900.0,3.0,3.0,2108.0,[],1.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Attached Garage"", ""Garage""]",[],"[""Baseboard heaters"", ""Electric""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Attached Garage"", ""Garage""]","[""Laminate"", ""Ceramic Tile""]","[""Attached Garage"", ""Garage""]",[]
Mount Pearl,47.536712,-52.812684,1590000.0,,0.0,,,,[],[],[],[],,,,Vacant Land,[],"[""No sewage system""]",,Vacant Land,[],[],[],[]
St. John's,47.561292,-52.720581,279000.0,4.0,2.0,1800.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Laminate"", ""Mixed Flooring""]",[],[]
St. John's,47.536366,-52.767263,539900.0,5.0,4.0,3660.0,[],1.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Detached Garage"", ""Garage""]",[],"[""Baseboard heaters"", ""Electric""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Detached Garage"", ""Garage""]","[""Laminate"", ""Mixed Flooring""]","[""Detached Garage"", ""Garage""]",[]
